year,TAXHAVEN,NAME
1993,0.0,179
1993,1.0,46
1994,0.0,189
1994,1.0,49
1995,0.0,342
1995,1.0,96
1996,0.0,424
1996,1.0,125
1997,0.0,458
1997,1.0,151
1998,0.0,484
1998,1.0,148
1999,0.0,600
1999,1.0,188
2000,0.0,541
2000,1.0,181
2001,0.0,618
2001,1.0,194
2002,0.0,704
2002,1.0,220
2003,0.0,703
2003,1.0,221
2004,0.0,663
2004,1.0,202
2005,0.0,739
2005,1.0,224
2006,0.0,805
2006,1.0,237
2007,0.0,816
2007,1.0,265
2008,0.0,879
2008,1.0,288
2009,0.0,1027
2009,1.0,346
2010,0.0,976
2010,1.0,332
2011,0.0,1026
2011,1.0,330
2012,0.0,999
2012,1.0,311
2013,0.0,941
2013,1.0,281
2014,0.0,82
2014,1.0,32
